country_text_id,COWcode,dac_code,vdem_text_id,country_name,valid_from,valid_to,in_unga,in_unsc,in_vdem,in_dac,sources,succession_note
PRM,335,NA,PRM,Parma,1789,1859,FALSE,FALSE,TRUE,FALSE,vdem,NA
PRT,235,PRT,PRT,Portugal,1789,2028,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
PRT,NA,PRT,PRT,Portugal,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_donor,NA
PRY,150,PRY,PRY,Paraguay,1811,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
PRY,NA,PRY,PRY,Paraguay,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
PSB,NA,NA,PSB,Palestine/British Mandate,1918,1948,FALSE,FALSE,TRUE,FALSE,vdem,NA
PSE,NA,PSE,PSE,Palestine/West Bank,1948,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient+vdem,NA
PSG,NA,NA,PSG,Palestine/Gaza,1948,2024,FALSE,FALSE,TRUE,FALSE,vdem,NA
PYF,NA,PYF,NA,French Polynesia,1966,1999,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
QAT,694,QAT,QAT,Qatar,1900,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
QAT,NA,QAT,QAT,Qatar,1963,2024,FALSE,FALSE,TRUE,TRUE,dac_donor+dac_recipient,NA
ROU,360,ROU,ROU,Romania,1789,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
ROU,NA,ROU,ROU,Romania,2008,2024,FALSE,FALSE,TRUE,TRUE,dac_donor,NA
RUS,365,NA,RUS,Russia,1789,2025,TRUE,FALSE,TRUE,FALSE,unga+vdem,NA
RWA,517,RWA,RWA,Rwanda,1916,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
RWA,NA,RWA,RWA,Rwanda,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
SAU,670,SAU,SAU,Saudi Arabia,1789,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
SAU,NA,SAU,SAU,Saudi Arabia,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_donor+dac_recipient,NA
SAX,NA,NA,SAX,Saxe-Weimar-Eisenach,1809,1867,FALSE,FALSE,TRUE,FALSE,vdem,NA
SDN,625,SDN,SDN,Sudan,1900,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
