"country","election_date","year","system_family","prev_mag","delta_log_mag_eff","n_pre","n_post","cmp_country","usable"
"Madagascar",1998-05-17,1998,"mixed",1.24,-0.635039549752665,0,0,FALSE,FALSE
"Madagascar",2007-09-23,2007,"majoritarian",1.05,-0.228841572428848,0,0,FALSE,FALSE
"Madagascar",2013-12-20,2013,"mixed",1.23,0.158224005214894,0,0,FALSE,FALSE
"Moldova",2019-02-24,2019,"mixed",50,-0.703097511413114,7,1,TRUE,FALSE
"Monaco",2003-02-09,2003,"mixed",24,0.287682072451781,0,0,FALSE,FALSE
"Mongolia",1996-06-30,1996,"majoritarian",1,-1.07158361628019,0,0,FALSE,FALSE
"Mongolia",2008-06-29,2008,"majoritarian",2.92,1.07158361628019,0,0,FALSE,FALSE
"Mongolia",2012-06-28,2012,"mixed",11.4842105263158,1.36938947795234,0,0,FALSE,FALSE
"Mongolia",2016-06-29,2016,"majoritarian",1,-2.44097309423253,0,0,FALSE,FALSE
"Mongolia",2020-06-24,2020,"majoritarian",2.62,0.963174317773006,0,0,FALSE,FALSE
"Nepal",2017-11-26,2017,"mixed",44.6,3.79773385902602,0,0,FALSE,FALSE
"Netherlands",1937-05-26,1937,"proportional",5.56,0,0,23,TRUE,FALSE
"Nicaragua",2001-11-04,2001,"proportional",7.57217391304348,-0.0213030853257488,0,0,FALSE,FALSE
"Niger",2004-12-04,2004,"mixed",12.266592920354,0.358871929286826,0,0,FALSE,FALSE
"Niger",2011-01-31,2011,"mixed",12.2619469026549,-0.000378825465209509,0,0,FALSE,FALSE
"North Macedonia",1998-10-18,1998,"mixed",10.9166666666667,2.39029067341315,2,7,TRUE,FALSE
"Norway",1953-10-12,1953,"proportional",7.5,0.372030332021927,2,17,TRUE,FALSE
"Panama",1989-05-07,1989,"mixed",1.68,-0.916290731874155,0,6,TRUE,FALSE
"Papua New Guinea",2007-06-30,2007,"majoritarian",1,0,0,0,FALSE,FALSE
"Paraguay",1993-05-09,1993,"proportional",4.44,-2.78601174257192,0,0,FALSE,FALSE
"Peru",1963-06-09,1963,"proportional",5.79,-0.269380908069377,0,3,TRUE,FALSE
"Philippines",1998-05-11,1998,"mixed",1.82727272727273,0.60282454226666,0,0,FALSE,FALSE
"Poland",1991-10-27,1991,"proportional",19.3345,0.155896972606067,0,9,TRUE,FALSE
"Poland",1993-09-19,1993,"proportional",16.742,-0.143970532647355,1,8,TRUE,FALSE
